 VTW   BTW    VAW    BAW      V      VMG    PHI   REEF    FLAT      CL  IT SAIL                                                                                                                           
6.0  174.0   2.90  168.40  2.710  -2.695    .1  1.0000  1.0000   .0234  3  Jib
6.0  173.0   2.90  166.43  2.723  -2.703    .2  1.0000  1.0000   .0462  2  Jib
6.0  172.0   2.90  164.45  2.737  -2.710    .2  1.0000  1.0000   .0698  3  Jib
6.0  171.0   2.90  162.47  2.750  -2.716    .2  1.0000  1.0000   .0940  3  Jib
6.0  170.0   2.90  160.48  2.764  -2.722    .2  1.0000  1.0000   .1191  3  Jib
6.0  169.0   2.91  158.49  2.777  -2.726    .2  1.0000  1.0000   .1449  3  Jib
6.0  168.0   2.91  156.51  2.791  -2.730    .2  1.0000  1.0000   .1715  3  Jib
6.0  167.0   2.92  154.52  2.804  -2.732    .2  1.0000  1.0000   .1990  3  Jib
6.0  166.0   2.93  152.54  2.818  -2.734    .3  1.0000  1.0000   .2274  3  Jib
6.0  165.0   2.94  150.57  2.832  -2.735    .3  1.0000  1.0000   .2566  3  Jib
6.0  164.0   2.95  148.60  2.846  -2.735    .3  1.0000  1.0000   .2866  3  Jib
6.0  163.0   2.97  146.64  2.860  -2.735    .3  1.0000  1.0000   .3175  3  Jib
6.0  162.0   2.99  144.70  2.874  -2.733    .3  1.0000  1.0000   .3489  3  Jib
6.0  161.0   3.00  142.76  2.888  -2.731    .3  1.0000  1.0000   .3810  3  Jib
